freq,sex,prof_pos,unit,sectperf,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,T,RSE,HC,BES,AT	: 	33643 	: 	36984 	: 	39073 	: 	44287 	: 	46547 	: 	: 
A,T,RSE,HC,BES,BA	120 	162 	74 	: 	: 	: 	: 	197 	161 	175 	: 	: 
A,T,RSE,HC,BES,BE	: 	30374 	: 	36947 	: 	40853 	: 	49837 	: 	67878 b	: 	: 
A,T,RSE,HC,BES,BG	2388 	3186 	3969 	6459 	7242 	7941 	9367 	9876 	9644 	9546 	10578 	: 
A,T,RSE,HC,BES,CH	17904 	: 	: 	23807 	: 	23142 	: 	25426 	: 	28212 	: 	: 
A,T,RSE,HC,BES,CN_X_HK	1176429 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,T,RSE,HC,BES,CY	338 	339 	325 	290 	369 	439 	630 	692 	738 	720 	: 	: 
A,T,RSE,HC,BES,CZ	17610 	19125 	21473 	22538 	22681 	23978 	25275 	25865 	26522 	30248 	31509 	31800 p
A,T,RSE,HC,BES,DE	: 	221362 	: 	252897 	: 	280095 	: 	309204 	: 	314353 	: 	: 
A,T,RSE,HC,BES,DK	29279 	28252 	28649 	29648 	31474 	31391 	29942 	31008 p	30747 p	: 	: 	: 
A,T,RSE,HC,BES,EA19	: 	786347 e	: 	855483 e	: 	963507 e	: 	1083362 e	: 	1141458 e	: 	: 
A,T,RSE,HC,BES,EA20	: 	787598 e	: 	856776 e	: 	965432 e	: 	1085957 e	: 	1144577 e	: 	: 
A,T,RSE,HC,BES,EE	2039 	1866 	2061 	1782 	1782 	2200 	2089 	2555 	3056 	3202 	3474 	: 
A,T,RSE,HC,BES,EL	: 	6004 	: 	7107 	: 	15671 	: 	15034 	17097 	19096 	23922 	: 
A,T,RSE,HC,BES,ES	59604 	59360 	59254 	60210 	62517 	65534 	70702 	72389 	74153 	79471 	86155 	: 
A,T,RSE,HC,BES,EU27_2020	: 	933559 e	: 	1021401 e	: 	1182281 e	: 	1324876 e	: 	1442703 e	: 	: 
A,T,RSE,HC,BES,FI	27225 	27977 	27367 	27977 	26962 	26252 	26949 	28800 	31536 	34904 d	33784 d	: 
A,T,RSE,HC,BES,FR	213181 	220321 	223801 	: 	237443 	256347 p	268565 p	: 	289641 	291075 	296555 	: 
A,T,RSE,HC,BES,HR	1366 	1251 	1178 	1293 	2003 	1925 	2081 	2595 	2685 	3119 	3667 	: 
A,T,RSE,HC,BES,HU	14742 	16010 	17008 	16485 	16726 	19292 	23776 b	25433 	28947 	31474 	32237 	: 
A,T,RSE,HC,BES,IE	: 	13750 	: 	14175 	: 	15605 	: 	16609 	: 	16739 	: 	: 
A,T,RSE,HC,BES,IS	: 	1278 b	: 	: 	: 	1354 u	1354 u	: 	: 	1879 	1947 u	: 
A,T,RSE,HC,BES,IT	49950 	52710 	54216 	62170 	72393 b	82060 	96257 	103403 	97320 	93296 	96082 	: 
A,T,RSE,HC,BES,JP	528300 d	531423 d	560466 d	540895 d	547344 d	557050 d	559983 d	562901 d	570974 d	598833 d	618551 d	: 
A,T,RSE,HC,BES,KR	275986 	281874 	304808 	317842 	321323 	343367 	368237 	387448 	401116 	429465 	443270 	: 
A,T,RSE,HC,BES,LT	2038 	2451 	4078 	2807 	2836 	3896 	4312 	4542 	4446 	4866 	5209 	: 
A,T,RSE,HC,BES,LU	: 	1097 	: 	1239 	: 	1505 	: 	1497 	: 	1201 	: 	: 
A,T,RSE,HC,BES,LV	1138 	1117 	1496 	1208 	1098 	1145 	1207 	1313 	1476 	1813 	1797 	: 
A,T,RSE,HC,BES,ME	: 	136 	123 	118 d	91 	116 	204 	158 	: 	: 	: 	: 
A,T,RSE,HC,BES,MK	120 	: 	: 	374 	374 	407 	482 	555 	572 	: 	408 	: 
A,T,RSE,HC,BES,MT	649 	552 	473 	515 	584 	591 	536 	525 	558 	572 	695 	: 
A,T,RSE,HC,BES,NL	71200 b	84044 b	84671 	85199 	91036 	90873 	95694 	99627 	101695 	103097 	110867 b	: 
A,T,RSE,HC,BES,NO	18630 u	18857 u	20388 u	21206 	22713 	24418 	25342 	26452 	27277 	29660 bd	30976 d	: 
A,T,RSE,HC,BES,PL	18882 	24781 	28386 	32204 	48850 	69228 	73126 	78423 	85469 	102674 	110713 	: 
A,T,RSE,HC,BES,PT	21471 	20621 b	21646 	23498 	26332 	29410 	32411 	36855 	42154 	46817 	49578 	: 
A,T,RSE,HC,BES,RO	5451 	5738 	5848 	4923 	5402 	4852 	5119 	4809 	5521 	6899 	6612 	: 
A,T,RSE,HC,BES,RS	283 	489 	1467 	1465 	2071 	1610 	1266 	1483 	1563 	1755 	1982 	2226 
A,T,RSE,HC,BES,RU	192285 e	193736 e	196320 e	198123 	: 	186347 	171205 	185358 	: 	: 	: 	: 
A,T,RSE,HC,BES,SE	: 	48961 b	: 	52368 	: 	60167 	: 	63505 	: 	87278 b	: 	: 
A,T,RSE,HC,BES,SI	5480 	5619 	5689 	5184 	5536 	7469 	8285 	8778 	9098 	8848 	8898 	: 
A,T,RSE,HC,BES,SK	3280 	3141 	3382 	3801 	4252 	4488 	5301 	5775 	5912 	6963 	8013 	: 
A,T,RSE,HC,BES,TR	39296 	45605 	48247 	51069 	59567 	70832 	85023 	93604 	106901 	124837 	144872 	: 
A,T,RSE,HC,BES,UK	113509 	123684 	133891 	136397 	141873 	155814 	165975 	: 	: 	: 	: 	: 
A,T,RSE,HC,BES,US	1004000 	1014000 	1060000 	1075000 	: 	: 	: 	: 	1339029 	1454417 	: 	: 
A,T,RSE,HC,GOV,AT	: 	3472 	: 	3747 	: 	6598 	: 	7037 	: 	7102 	: 	: 
A,T,RSE,HC,GOV,BA	67 	97 	69 	: 	: 	: 	: 	53 	78 	129 	: 	: 
A,T,RSE,HC,GOV,BE	3962 b	4061 	4472 	4501 	4769 	4952 	5782 	6013 	6897 	7030 	: 	: 
A,T,RSE,HC,GOV,BG	5485 	5414 	5176 	4830 	4979 	4937 	4826 	4970 	5088 	5018 	5101 	: 
A,T,RSE,HC,GOV,CH	980 	: 	1089 d	1095 	: 	1051 	: 	1331 	: 	1188 	1268 	: 
A,T,RSE,HC,GOV,CN_X_HK	339576 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,T,RSE,HC,GOV,CY	202 	188 	174 	177 	176 	191 	195 	211 	229 	221 	: 	: 
A,T,RSE,HC,GOV,CZ	8701 	9171 	9509 	9905 	9865 	10569 	10807 	10819 	11080 	11167 	11125 	10946 p
A,T,RSE,HC,GOV,DE	65538 	66264 	61224 b	62790 d	62840 d	63862 d	66978 d	69352 d	71733 d	75078 d	: 	: 
A,T,RSE,HC,GOV,DK	2092 	2289 	2394 	2585 	2443 	2621 	2747 	2767 p	2782 p	: 	: 	: 
A,T,RSE,HC,GOV,EA19	198457 e	197727 e	195643 e	205622 e	210559 e	216439 e	224224 e	230147 e	235897 e	246376 e	: 	: 
A,T,RSE,HC,GOV,EA20	201344 e	200507 e	198225 e	208099 e	213100 e	219167 e	227011 e	233107 e	238936 e	249272 e	: 	: 
A,T,RSE,HC,GOV,EE	726 	749 	738 	668 	623 	642 	574 	608 	634 	623 	709 	: 
A,T,RSE,HC,GOV,EL	: 	8567 	: 	15758 	: 	15987 	: 	17804 	18171 	19263 	19743 	: 
A,T,RSE,HC,GOV,ES	32192 	31018 	31094 	32371 	33640 	34193 	35015 	35980 	36092 	37937 	39218 	: 
A,T,RSE,HC,GOV,EU27_2020	252562 e	255145 e	253237 e	266440 e	259674 e	269425 e	277327 e	282749 e	290848 e	301880 e	: 	: 
A,T,RSE,HC,GOV,FI	5677 	5732 	5179 	4888 	4391 	4775 	4635 	4629 	4673 	4831 d	4986 d	: 
A,T,RSE,HC,GOV,FR	28051 	28520 	28403 	: 	30214 	30474 p	30684 p	: 	31167 	31845 	32574 	: 
A,T,RSE,HC,GOV,HR	2887 d	2780 d	2582 d	2477 d	2541 d	2728 d	2787 d	2960 d	3039 d	2896 	3150 	: 
A,T,RSE,HC,GOV,HU	5726 	5770 	6257 	6290 	6150 	6113 	7906 b	8046 	8285 	7896 	7960 	: 
A,T,RSE,HC,GOV,IE	558 	516 	544 	573 	: 	677 	: 	760 	: 	998 	1142 	: 
A,T,RSE,HC,GOV,IS	: 	168 b	: 	: 	: 	255 	278 	: 	: 	287 	308 u	: 
A,T,RSE,HC,GOV,IT	25930 	27621 	28314 	29058 	29124 	29830 	30403 	31008 	31606 	33263 	34733 	: 
A,T,RSE,HC,GOV,JP	34829 d	34287 d	34067 d	34151 d	34235 d	34598 d	34745 d	34920 d	34449 d	34661 d	34511 d	: 
A,T,RSE,HC,GOV,KR	24822 	26153 	27508 	28986 	29571 	29733 	30470 	32135 	30822 	31370 	31624 	: 
A,T,RSE,HC,GOV,LT	1700 	1696 	1761 	1886 	2643 	2883 	2850 	2774 	2895 	2966 	2860 	: 
A,T,RSE,HC,GOV,LU	786 	788 	767 	678 	: 	682 	: 	756 	: 	777 	: 	: 
A,T,RSE,HC,GOV,LV	964 	944 	904 	947 	907 	896 	898 	847 	1025 	1035 	1026 	: 
A,T,RSE,HC,GOV,ME	: 	508 	491 	573 d	355 	469 	473 	534 	: 	: 	: 	: 
A,T,RSE,HC,GOV,MK	453 	: 	: 	418 	495 	408 	351 	336 	396 	: 	336 	: 
A,T,RSE,HC,GOV,MT	33 	25 	27 	34 	33 	32 	32 	17 	29 	140 	208 	: 
A,T,RSE,HC,GOV,NL	11581 bd	7976 bd	7506 d	7893 d	7969 d	7860 d	8102 d	8641 d	8800 d	9266 d	8181 bd	: 
A,T,RSE,HC,GOV,NO	6216 	6350 	6233 	6371 	6350 	6423 	6444 	6384 	6503 	6523 	6509 	: 
A,T,RSE,HC,GOV,PL	15628 	15633 	16050 	15468 	3973 	5782 	5102 	4282 	5387 	5702 	5415 	: 
A,T,RSE,HC,GOV,PT	4784 	4101 b	4510 	4620 	4614 	5327 	5501 	5839 	5972 	6562 	6641 	: 
A,T,RSE,HC,GOV,RO	6664 	6859 	6799 	7032 	7043 	6856 	7064 	7267 	7249 	6910 	7126 	: 
A,T,RSE,HC,GOV,RS	3083 	3133 	2920 	3236 	3011 	3034 	3112 	3292 	3401 	3453 	3490 	3807 
A,T,RSE,HC,GOV,RU	136521 e	132204 e	132796 e	134794 	: 	130081 	131366 	113555 	: 	: 	: 	: 
A,T,RSE,HC,GOV,SE	: 	9527 be	: 	12231 e	: 	13380 	: 	11491 e	: 	13028 b	: 	: 
A,T,RSE,HC,GOV,SI	2169 	2165 	2077 	1927 	1958 	2170 	2281 	2322 	2319 	2405 	2817 	: 
A,T,RSE,HC,GOV,SK	3683 d	3324 d	3975 d	3957 	4422 	4408 	4628 	4706 	4900 	5034 	4941 	: 
A,T,RSE,HC,GOV,TR	7359 	7083 	7251 	7199 	7483 	7379 	7549 	6635 	6970 	7337 	7249 	: 
A,T,RSE,HC,GOV,UK	8752 	8714 	8873 	8391 	8257 	8427 	8141 	: 	: 	: 	: 	: 
A,T,RSE,HC,GOV,US	: 	: 	: 	: 	: 	: 	: 	: 	57477 de	58360 de	: 	: 
A,T,RSE,HC,HES,AT	: 	33781 	: 	36699 	: 	37333 	: 	41021 	: 	41791 	: 	: 
A,T,RSE,HC,HES,BA	609 	986 	1684 	: 	: 	: 	: 	1871 	1659 	1624 	: 	: 
A,T,RSE,HC,HES,BE	31437 	32077 	34977 	31909 	32526 	32472 	34908 	34623 	35249 	36725 	: 	: 
A,T,RSE,HC,HES,BG	7170 	7278 	8505 	7902 	8814 	7924 	8464 	8168 	8322 	8509 	8532 	: 
A,T,RSE,HC,HES,CH	41395 	: 	: 	45932 	: 	47464 d	: 	50583 d	: 	53295 d	53889 d	: 
A,T,RSE,HC,HES,CN_X_HK	553645 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,T,RSE,HC,HES,CY	1263 	1586 	1527 	1520 	1515 	1582 	1676 	1791 	1823 	1856 	: 	: 
A,T,RSE,HC,HES,CZ	21134 	22957 	23279 	23963 	23442 	25010 	25687 	26766 	27325 	27851 	28214 	28092 p
A,T,RSE,HC,HES,DE	251940 	261657 	265911 	270343 	271953 b	279167 	285378 	288837 	295712 	301833 d	: 	: 
A,T,RSE,HC,HES,DK	25882 	27080 	27431 	28000 	26237 	25838 	27489 	27513 p	27665 p	: 	: 	: 
A,T,RSE,HC,HES,EA19	822738 e	842160 e	850612 e	860440 e	855070 e	874803 e	894150 e	914156 e	932352 e	958674 e	: 	: 
A,T,RSE,HC,HES,EA20	829887 e	849297 e	857578 e	867759 e	863477 e	883858 e	903240 e	924254 e	942655 e	969485 e	: 	: 
A,T,RSE,HC,HES,EE	4742 	4792 	4811 	4610 	4319 	4389 	4498 	4461 	4860 	5066 	5494 	: 
A,T,RSE,HC,HES,EL	: 	38724 	: 	37463 	: 	29445 	: 	33144 	36525 	37875 	41491 	: 
A,T,RSE,HC,HES,ES	123245 	117925 	119290 	121161 	121905 	125714 	128594 	132551 	133460 	137380 	140571 	: 
A,T,RSE,HC,HES,EU27_2020	1024195 e	1049337 e	1064726 e	1072893 e	1074193 e	1120135 e	1147689 e	1172367 e	1187053 e	1221013 e	: 	: 
A,T,RSE,HC,HES,FI	23173 	22404 	22274 	22173 	21713 	22433 	23104 	24152 	24371 	25392 d	27007 d	: 
A,T,RSE,HC,HES,FR	111036 	113058 	113217 	: 	123449 	123893 p	124805 p	: 	133513 	137688 	139109 	: 
A,T,RSE,HC,HES,HR	7149 	7137 	6966 	7319 	8407 	9055 	9090 	10098 	10303 	10811 	10533 	: 
A,T,RSE,HC,HES,HU	16551 	16023 	15925 	15643 	16039 	17324 	23288 b	24612 	24945 	25832 	29899 	: 
A,T,RSE,HC,HES,IE	17337 	17818 	18299 	15865 	13431 	18439 	: 	18873 	: 	18804 e	: 	: 
A,T,RSE,HC,HES,IS	: 	1910 b	: 	: 	: 	2195 	2169 	: 	: 	2537 	2499 u	: 
A,T,RSE,HC,HES,IT	76654 	77737 	79220 	76403 e	77805 e	77637 e	77699 e	80260 e	80481 e	83067 e	86249 e	: 
A,T,RSE,HC,HES,JP	315244 d	317658 d	321571 d	322100 d	326233 d	329355 d	331427 d	334642 d	336849 d	341131 d	342478 d	: 
A,T,RSE,HC,HES,KR	96916 	97319 	99317 	99870 	103166 	102877 	108529 	110619 	115924 	114635 	114854 	: 
A,T,RSE,HC,HES,LT	13939 	13936 	13532 	12600 	12267 	11988 	12036 	11495 	12090 	11777 	11520 	: 
A,T,RSE,HC,HES,LU	708 	828 	1227 	1290 	: 	1353 	: 	1469 	: 	1768 	: 	: 
A,T,RSE,HC,HES,LV	5893 	5387 	5539 	5672 	5395 	5463 	5334 	5564 	5893 	6295 	6071 	: 
A,T,RSE,HC,HES,ME	: 	950 	1069 	1001 d	1006 	911 	886 	858 	: 	: 	: 	: 
A,T,RSE,HC,HES,MK	1658 	: 	: 	2965 	2765 	2465 	2581 	2466 	2444 	: 	2037 	: 
A,T,RSE,HC,HES,MT	756 	806 	849 	863 	853 	923 	945 	1017 	1060 	1153 	1222 	: 
A,T,RSE,HC,HES,NL	24403 	24590 b	25396 	25810 	25563 	26100 	26357 	27766 	29433 	31082 	31155 	: 
A,T,RSE,HC,HES,NO	21901 	22588 	23404 	24604 	25538 	27093 	27843 	28821 	29323 	30715 	31117 	: 
A,T,RSE,HC,HES,PL	68923 	69027 	70771 	70658 	79010 	111163 	112754 	110004 	104040 	105998 	106370 	: 
A,T,RSE,HC,HES,PT	48007 	52827 b	51924 	52325 	54248 	54307 	57532 	57416 	55476 	56287 	56924 	: 
A,T,RSE,HC,HES,RO	15569 	14884 	14743 	15057 	15083 	15523 	15111 	14867 	15069 	15221 	15807 	: 
A,T,RSE,HC,HES,RS	9879 	11015 	10769 	11630 	11502 	11536 	11833 	11621 	11695 	11746 	12037 	12382 
A,T,RSE,HC,HES,RU	43024 e	42605 e	44342 e	45967 	: 	42113 	44489 	48429 	: 	: 	: 	: 
A,T,RSE,HC,HES,SE	: 	42894 	: 	43911 	: 	33495 	: 	36183 	: 	38747 b	: 	: 
A,T,RSE,HC,HES,SI	4695 	4310 	4376 	4186 	3776 	4374 	4737 	4658 	4709 	4823 	5044 	: 
A,T,RSE,HC,HES,SK	18011 	17917 	17668 	16565 	17862 	17790 	18676 	18340 	17856 	18012 	17920 	: 
A,T,RSE,HC,HES,TR	108478 	113409 	126046 	117252 	122175 	125828 	124442 	133324 	140158 	144935 	155398 	: 
A,T,RSE,HC,HES,UK	315230 e	330382 	342696 e	347038 e	355637 e	351971 e	356455 e	: 	: 	: 	: 	: 
A,T,RSE,HC,HES,US	: 	: 	: 	: 	: 	: 	: 	: 	347663 	358098 	: 	: 
A,T,RSE,HC,PNP,AT	: 	552 	: 	621 	: 	644 	: 	834 	: 	830 	: 	: 
A,T,RSE,HC,PNP,BA	3 	0 	4 	: 	: 	: 	: 	0 	0 	0 	: 	: 
A,T,RSE,HC,PNP,BE	207 b	212 	258 	352 	556 	590 	1229 	1284 	770 	790 	: 	: 
A,T,RSE,HC,PNP,BG	176 	217 	145 	147 	46 	169 	135 	157 	174 	161 	139 	: 
A,T,RSE,HC,PNP,CY	121 	115 	138 	132 	118 	145 	151 	196 	239 	233 	: 	: 
A,T,RSE,HC,PNP,CZ	206 	202 	232 	199 	190 	232 	197 	240 	266 	270 	334 	403 bp
A,T,RSE,HC,PNP,DK	268 	255 	261 	259 	278 	235 	211 	285 p	287 p	: 	: 	: 
A,T,RSE,HC,PNP,EA19	19706 e	13581 e	14374 e	: 	16091 e	15629 e	16801 e	: 	18990 e	20097 e	22121 e	: 
A,T,RSE,HC,PNP,EA20	19706 e	13581 e	14374 e	: 	16091 e	15629 e	16801 e	: 	18990 e	20150 e	22192 e	: 
A,T,RSE,HC,PNP,EE	127 	108 	111 	121 	121 	113 	120 	110 	109 	142 	120 	: 
A,T,RSE,HC,PNP,EL	: 	449 	: 	408 	: 	513 	: 	469 	441 	426 	558 	: 
A,T,RSE,HC,PNP,ES	503 	464 	466 	485 	618 	554 	487 	452 	482 	597 	1465 	: 
A,T,RSE,HC,PNP,EU27_2020	21039 e	14981 e	15840 e	15899 e	17895 e	18133 e	19478 e	21195 e	21492 e	22559 e	24979 e	: 
A,T,RSE,HC,PNP,FI	629 	607 	695 	690 	686 	679 	727 	710 	712 	688 d	644 d	: 
A,T,RSE,HC,PNP,FR	4177 	4400 	4578 	: 	5488 	5503 p	5905 p	: 	6471 	6911 	7338 	: 
A,T,RSE,HC,PNP,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	53 	71 	: 
A,T,RSE,HC,PNP,IS	: 	: 	: 	: 	: 	0 	0 u	: 	: 	: 	: 	: 
A,T,RSE,HC,PNP,IT	5426 	5857 	6324 	6696 	6594 	6033 	6060 	7494 	7645 	7956 	8190 	: 
A,T,RSE,HC,PNP,JP	8694 d	9038 d	10567 d	10309 d	9913 d	9717 d	9503 d	9717 d	9454 d	8979 d	8343 d	: 
A,T,RSE,HC,PNP,KR	4000 	4987 	5814 	6564 	6709 	6819 	6934 	7934 	10183 	11196 	11782 	: 
A,T,RSE,HC,PNP,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 u	: 	: 
A,T,RSE,HC,PNP,ME	: 	23 	25 	74 d	57 	32 	33 	36 	: 	: 	: 	: 
A,T,RSE,HC,PNP,MK	: 	: 	: 	15 	63 	66 	50 	38 	14 	: 	17 	: 
A,T,RSE,HC,PNP,NL	: 	0 bd	0 d	0 d	0 d	0 d	0 d	0 d	0 d	0 d	0 bd	: 
